Enrollment ID,Legal Business Name,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Practice Location Phone Number,Specialty Name,Geographic Location Type Description,Geographic Location City Name,Geographic Location State Code,Geographic Location ZIP Code,State County Name
O20201116001628,CRESCENT HEALTHCARE INC,5431 SW 35TH DR,STE 200,GAINESVILLE,FL,32608-5277,(844) 373-8389,HOME INFUSION THERAPY,RENDERING AREA,--,FL,--,--
O20220203001062,MKARE MANAGEMENT INC,147 AUBURN RDG,--,SPRING BRANCH,TX,78070-6001,(210) 663-0169,HOME INFUSION THERAPY,RENDERING AREA,--,TX,--,BEXAR
O20230209002788,PRESTIGE FAMILY HOME HEALTH CARE LLC,1180 N TOWN CENTER DR,STE 100,LAS VEGAS,NV,89144-6308,(702) 945-2765,HOME INFUSION THERAPY,RENDERING AREA,HENDERSON,NV,--,--
O20221102001119,AMBER ENTERPRISES INC,10 MEDICAL PARKWAY PLAZA 3,SUITE 107,FARMERS BRANCH,TX,75234-7840,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,GA,--,--
O20221102001119,AMBER ENTERPRISES INC,10 MEDICAL PARKWAY PLAZA 3,SUITE 107,FARMERS BRANCH,TX,75234-7840,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,LA,--,--
O20210826002187,INFUSION SOLUTIONS INC,477 W HORTON RD,--,BELLINGHAM,WA,98226-1205,(360) 933-4892,HOME INFUSION THERAPY,RENDERING AREA,--,WA,--,--
O20210826002187,INFUSION SOLUTIONS INC,5929 EVERGREEN WAY,STE 200,EVERETT,WA,98203-6031,(360) 933-4892,HOME INFUSION THERAPY,RENDERING AREA,--,WA,--,--
O20221117001910,AMBER ENTERPRISES INC,1 E ERIE ST,STE 630,CHICAGO,IL,60611-4756,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,KY,--,--
O20221117001910,AMBER ENTERPRISES INC,1 E ERIE ST,STE 630,CHICAGO,IL,60611-4756,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,MI,--,--
O20221117001910,AMBER ENTERPRISES INC,1 E ERIE ST,STE 630,CHICAGO,IL,60611-4756,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,NE,--,--
O20221117001910,AMBER ENTERPRISES INC,1 E ERIE ST,STE 630,CHICAGO,IL,60611-4756,(888) 370-1724,HOME INFUSION THERAPY,RENDERING AREA,--,SD,--,--
O20210416000228,CATHOLIC HEALTH SYSTEM INFUSION PHARMACY INC,6350 TRANSIT RD,--,DEPEW,NY,14043-1039,(716) 685-4870,HOME INFUSION THERAPY,RENDERING AREA,BUFFALO,NY,--,--
O20210416000228,CATHOLIC HEALTH SYSTEM INFUSION PHARMACY INC,6350 TRANSIT RD,--,DEPEW,NY,14043-1039,(716) 685-4870,HOME INFUSION THERAPY,RENDERING AREA,SPRINGBROOK,NY,--,--
