"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT","SUBGROUP - GENERAL","SUBGROUP - ACUTE CARE","SUBGROUP - ALCOHOL DRUG","SUBGROUP - CHILDRENS","SUBGROUP - LONG-TERM","SUBGROUP - PSYCHIATRIC","SUBGROUP - REHABILITATION","SUBGROUP - SHORT-TERM","SUBGROUP - SWING-BED APPROVED","SUBGROUP - PSYCHIATRIC UNIT","SUBGROUP - REHABILITATION UNIT","SUBGROUP - SPECIALTY HOSPITAL","SUBGROUP - OTHER","SUBGROUP - OTHER TEXT","REH CONVERSION FLAG","REH CONVERSION DATE","CAH OR HOSPITAL CCN"
O20020812000015,TN,00-09,PART A PROVIDER - HOSPITAL,1467408781,N,440058,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM WINCHESTER,11/09/1998,DE,LLC,,P,185 HOSPITAL RD,,WINCHESTER,TN,373982404,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,,
O20020814000009,ME,00-09,PART A PROVIDER - HOSPITAL,1689653487,N,200024,2567379563,CENTRAL MAINE MEDICAL CENTER,,01/01/1888,ME,CORPORATION,,N,300 MAIN ST,,LEWISTON,ME,042407027,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020815000027,MA,00-09,PART A PROVIDER - HOSPITAL,1134281280,N,220062,8325955347,"ADCARE HOSPITAL OF WORCESTER, INC",ADCARE HOSPITAL OF WORCESTER,10/17/1985,MA,CORPORATION,,P,107 LINCOLN ST,,WORCESTER,MA,016052401,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020821000019,MA,00-09,PART A PROVIDER - HOSPITAL,1114984671,N,220012,8921915950,CAPE COD HOSPITAL INC,CAPE COD HOSPITAL,08/22/1919,MA,CORPORATION,,N,27 PARK STREET,CAPE COD HOSPITAL,HYANNIS,MA,026015230,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,N,,
O20020822000021,ND,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1205807013,N,351318,0547177552,CARRINGTON HEALTH CENTER,CHI ST ALEXIUS HEALTH CARRINGTON,06/30/1986,ND,CORPORATION,,N,800 4TH ST N,,CARRINGTON,ND,584211217,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020826000004,GA,00-09,PART A PROVIDER - HOSPITAL,1588664007,N,112011,6002723947,SELECT SPECIALTY HOSPITAL - SAVANNAH INC,SELECT SPECIALTY HOSPITAL SAVANNAH,12/05/2001,DE,CORPORATION,,P,5353 REYNOLDS ST,,SAVANNAH,GA,314056015,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20020827000002,IA,00-09,PART A PROVIDER - HOSPITAL,1942392600,N,160117,5092622944,THE FINLEY HOSPITAL,FINLEY HOSPITAL,06/26/1941,IA,CORPORATION,,N,350 N GRANDVIEW AVE,,DUBUQUE,IA,520016388,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020904000011,NY,00-09,PART A PROVIDER - HOSPITAL,1164481529,N,330246,6103733050,ST CHARLES HOSPITAL,,09/30/1958,NY,CORPORATION,,N,200 BELLE TERRE RD,,PORT JEFFERSON,NY,117771928,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020912000021,AR,00-09,PART A PROVIDER - HOSPITAL,1083609150,N,040004,7214844034,WASHINGTON REGIONAL MEDICAL CENTER,,05/18/1988,AR,OTHER,ARKANSAS NONPROFIT CORPORATION,N,3215 N NORTHHILLS BLVD,,FAYETTEVILLE,AR,727034424,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020917000026,AZ,00-09,PART A PROVIDER - HOSPITAL,1396745832,N,030107,4486561248,ARIZONA SPINE AND JOINT HOSPITAL LLC,,10/26/2000,AZ,LLC,,P,4620 E BASELINE RD,,MESA,AZ,85206,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,,
O20020920000016,OR,00-09,PART A PROVIDER - HOSPITAL,1770587107,N,380018,0547177321,ASANTE,ASANTE ROGUE REGIONAL MEDICAL CENTER,03/13/1936,OR,CORPORATION,,N,2825 E BARNETT RD,,MEDFORD,OR,975048332,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020920000019,MS,00-09,PART A PROVIDER - HOSPITAL,1518967280,N,252005,8426965203,SELECT SPECIALTY HOSPITAL - GULF COAST INC,SELECT SPECIALTY HOSPITAL - GULF COAST,09/21/1994,MS,CORPORATION,,P,4500 13TH ST,FL 3,GULFPORT,MS,395012515,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20020921000005,SC,00-09,PART A PROVIDER - HOSPITAL,1972503910,N,420098,9133036932,WACCAMAW COMMUNITY HOSPITAL,TIDELANDS WACCAMAW COMMUNTY HOSPITAL,03/29/2002,SC,CORPORATION,,N,4070 HIGHWAY 17,,MURRELLS INLET,SC,295765033,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20020925000020,MN,00-09,PART A PROVIDER - HOSPITAL,1902845068,N,24T047,7113834839,ST LUKES HOSPITAL OF DULUTH,ST LUKES,04/06/1883,MN,CORPORATION,,N,915 E 1ST ST,,DULUTH,MN,558052107,HOSPITAL REHABILITATION UNIT,,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,,
