Name of Initiative, Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Comunidad Saludable De La Montana,Comunidad Saludable De La Montana,"Carr. 10 Km 52.5 Bo. Utuado, PR 00641 (18.26441521000004, -66.72276826999996)",Carr. 10 Km 52.5 Bo.,Salto Arriba,Utuado,PR,641,(787) 698-0073,1780198135,Community Setting,85
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Comunidad Saludable De La Montana,Comunidad Saludable De La Montana,"San Lucas Medical Tower Ponce, PR 00716 (18.007159900000033, -66.58915819999999)",San Lucas Medical Tower,"Ave. Tito Castro, Office 808",Ponce,PR,716,(787) 698-0073,1780198135,Administrative Location,86
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Comunidad Saludable De La Montana,Comunidad Saludable De La Montana,"1325 Miguel Pou Ave Ponce, PR 00717 (18.01128362700007, -66.60150274399996)",1325 Miguel Pou Ave,1325 Miguel Pou Ave,Ponce,PR,717,(787) 698-0073,1780198135,Community Setting,84
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"4 Valente Dr Westborough, MA 01581 (42.278878, -71.664849)",4 Valente Dr,,Westborough,MA,1581,(508) 870-1320,1689815383,Community Setting,248
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"60 Main St Whitinsville, MA 01588 (42.110333, -71.666594)",60 Main St,,Whitinsville,MA,1588,(508) 234-8184,1689815383,Community Setting,254
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"75 Shore Dr Worcester, MA 01605 (42.30408, -71.810478)",75 Shore Dr,,Worcester,MA,1605,(508) 852-6694,1689815383,Community Setting,259
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"766 Main St Worcester, MA 01610 (42.25734, -71.808984)",766 Main St,,Worcester,MA,1610,(508) 755-6101,1689815383,Community Setting,261
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"43 Hope St Hopedale, MA 01747 (42.130325, -71.540079)",43 Hope St,,Hopedale,MA,1747,(508) 634-2208,1689815383,Community Setting,252
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"62 Providence St Mendon, MA 01756 (42.09597, -71.53861)",62 Providence St,,Mendon,MA,1756,(508) 478-6175,1689815383,Community Setting,256
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"60 N Bow St Milford, MA 01757 (42.140968, -71.515561)",60 N Bow St,,Milford,MA,1757,(508) 473-8334,1689815383,Community Setting,255
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"40 Blackstone St Bellingham, MA 02019 (42.078244, -71.466783)",40 Blackstone St,,Bellingham,MA,2019,(508) 966-0398,1689815383,Community Setting,250
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"67 Mechanic St Foxboro, MA 02035 (42.069835, -71.242578)",67 Mechanic St,,Foxboro,MA,2035,(774) 571-8029,1689815383,Administrative Location,257
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"75 Central St Foxborough, MA 02035 (42.062026, -71.247783)",75 Central St,,Foxborough,MA,2035,(508) 543-1252,1689815383,Community Setting,258
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"10 Daniel Mccahill St Franklin, MA 02038 (42.090699, -71.403221)",10 Daniel Mccahill St,,Franklin,MA,2038,(508) 520-4945,1689815383,Community Setting,242
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hockomock Young Men'S Christian Association Inc.,Hockomock Area Ymca,"45 Forge Hill Rd Franklin, MA 02038 (42.077532, -71.433784)",45 Forge Hill Rd,,Franklin,MA,2038,(508) 528-8708,1689815383,Administrative Location,253
